a0,a1,a2,a3,a4,label,action_name
336,594,156,616,36,0,휴식 (Relax)
328,594,156,616,31,0,휴식 (Relax)
344,616,140,594,33,0,휴식 (Relax)
328,594,156,605,31,0,휴식 (Relax)
336,583,151,605,33,0,휴식 (Relax)
328,605,140,605,39,0,휴식 (Relax)
328,616,145,594,33,0,휴식 (Relax)
328,594,145,583,26,0,휴식 (Relax)
328,572,151,605,42,0,휴식 (Relax)
312,605,145,605,36,0,휴식 (Relax)
336,627,140,605,36,0,휴식 (Relax)
320,605,151,594,26,0,휴식 (Relax)
336,583,156,627,36,0,휴식 (Relax)
336,616,151,627,36,0,휴식 (Relax)
336,616,140,594,33,0,휴식 (Relax)
328,583,156,594,28,0,휴식 (Relax)
336,583,151,616,33,0,휴식 (Relax)
328,605,151,616,36,0,휴식 (Relax)
328,627,135,594,33,0,휴식 (Relax)
328,594,140,583,36,0,휴식 (Relax)
320,594,151,605,36,0,휴식 (Relax)
320,594,151,594,33,0,휴식 (Relax)
336,616,145,616,36,0,휴식 (Relax)
320,594,151,605,26,0,휴식 (Relax)
352,605,156,616,33,0,휴식 (Relax)
336,594,151,616,36,0,휴식 (Relax)
328,627,140,605,33,0,휴식 (Relax)
336,605,162,616,26,0,휴식 (Relax)
344,594,156,616,36,0,휴식 (Relax)
328,594,156,627,39,0,휴식 (Relax)
336,638,135,605,31,0,휴식 (Relax)
336,594,162,594,31,0,휴식 (Relax)
328,594,151,616,33,0,휴식 (Relax)
328,605,151,605,33,0,휴식 (Relax)
328,616,140,594,31,0,휴식 (Relax)
328,594,151,594,33,0,휴식 (Relax)
320,594,156,616,28,0,휴식 (Relax)
336,616,145,616,36,0,휴식 (Relax)
328,616,135,594,36,0,휴식 (Relax)
320,594,151,594,26,0,휴식 (Relax)
336,572,162,616,36,0,휴식 (Relax)
336,605,145,605,36,0,휴식 (Relax)
328,638,140,616,33,0,휴식 (Relax)
336,594,151,594,31,0,휴식 (Relax)
336,583,151,605,36,0,휴식 (Relax)
320,583,151,605,33,0,휴식 (Relax)
336,616,135,605,36,0,휴식 (Relax)
328,605,145,594,31,0,휴식 (Relax)
320,572,145,594,39,0,휴식 (Relax)
312,605,145,616,36,0,휴식 (Relax)
328,638,130,594,28,0,휴식 (Relax)
328,594,145,583,31,0,휴식 (Relax)
328,572,162,605,36,0,휴식 (Relax)
320,594,151,605,36,0,휴식 (Relax)
336,627,135,594,33,0,휴식 (Relax)
320,594,151,594,28,0,휴식 (Relax)
336,583,156,616,33,0,휴식 (Relax)
344,616,145,627,39,0,휴식 (Relax)
328,627,135,594,36,0,휴식 (Relax)
328,605,156,616,28,0,휴식 (Relax)
344,594,151,605,31,0,휴식 (Relax)
336,605,151,616,36,0,휴식 (Relax)
312,605,140,605,28,0,휴식 (Relax)
336,594,140,572,39,0,휴식 (Relax)
312,583,156,605,36,0,휴식 (Relax)
320,616,156,638,33,0,휴식 (Relax)
352,638,130,594,31,0,휴식 (Relax)
336,594,156,605,33,0,휴식 (Relax)
328,583,156,616,31,0,휴식 (Relax)
336,605,151,627,33,0,휴식 (Relax)
336,627,135,594,33,0,휴식 (Relax)
328,594,145,616,33,0,휴식 (Relax)
328,605,156,627,36,0,휴식 (Relax)
336,616,140,605,33,0,휴식 (Relax)
328,605,156,627,31,0,휴식 (Relax)
344,594,145,583,26,0,휴식 (Relax)
352,594,162,616,36,0,휴식 (Relax)
320,594,145,594,36,0,휴식 (Relax)
320,605,151,616,36,0,휴식 (Relax)
336,605,145,594,26,0,휴식 (Relax)
344,572,156,605,36,0,휴식 (Relax)
328,594,145,605,36,0,휴식 (Relax)
328,605,135,594,33,0,휴식 (Relax)
336,594,156,605,31,0,휴식 (Relax)
336,594,140,583,39,0,휴식 (Relax)
320,605,135,583,45,0,휴식 (Relax)
296,605,140,594,31,0,휴식 (Relax)
336,594,151,583,26,0,휴식 (Relax)
336,583,162,616,36,0,휴식 (Relax)
320,616,145,616,33,0,휴식 (Relax)
336,605,145,605,31,0,휴식 (Relax)
344,594,151,605,31,0,휴식 (Relax)
328,594,140,572,36,0,휴식 (Relax)
304,594,151,616,36,0,휴식 (Relax)
320,594,140,583,28,0,휴식 (Relax)
344,605,135,561,42,0,휴식 (Relax)
288,572,156,616,36,0,휴식 (Relax)
328,616,145,616,31,0,휴식 (Relax)
352,627,145,616,36,0,휴식 (Relax)
320,605,145,605,31,0,휴식 (Relax)
336,594,151,605,36,0,휴식 (Relax)
320,616,140,594,36,0,휴식 (Relax)
312,605,140,605,33,0,휴식 (Relax)
336,594,151,605,31,0,휴식 (Relax)
344,605,151,616,33,0,휴식 (Relax)
336,594,151,605,36,0,휴식 (Relax)
328,594,145,594,36,0,휴식 (Relax)
320,605,145,605,28,0,휴식 (Relax)
344,605,151,605,33,0,휴식 (Relax)
336,594,151,616,39,0,휴식 (Relax)
328,605,151,594,33,0,휴식 (Relax)
336,616,151,616,33,0,휴식 (Relax)
336,594,151,605,33,0,휴식 (Relax)
328,605,140,605,36,0,휴식 (Relax)
320,616,145,605,33,0,휴식 (Relax)
320,605,140,594,36,0,휴식 (Relax)
328,605,151,616,36,0,휴식 (Relax)
328,605,145,616,36,0,휴식 (Relax)
336,616,145,594,33,0,휴식 (Relax)
328,594,145,616,33,0,휴식 (Relax)
336,594,145,594,33,0,휴식 (Relax)
328,605,151,627,39,0,휴식 (Relax)
320,616,140,583,28,0,휴식 (Relax)
336,594,156,616,33,0,휴식 (Relax)
328,605,156,638,28,0,휴식 (Relax)
352,616,140,605,39,0,휴식 (Relax)
328,594,151,594,31,0,휴식 (Relax)
328,583,168,649,31,0,휴식 (Relax)
352,616,135,594,28,0,휴식 (Relax)
336,594,156,616,39,0,휴식 (Relax)
328,594,151,605,31,0,휴식 (Relax)
336,594,145,605,36,0,휴식 (Relax)
312,605,140,583,28,0,휴식 (Relax)
