a0,a1,a2,a3,a4,a0_f1,a0_f2,a0_f3,a0_f4,a0_f5,a0_f6,a0_f7,a0_f8,a1_f1,a1_f2,a1_f3,a1_f4,a1_f5,a1_f6,a1_f7,a1_f8,a2_f1,a2_f2,a2_f3,a2_f4,a2_f5,a2_f6,a2_f7,a2_f8,a3_f1,a3_f2,a3_f3,a3_f4,a3_f5,a3_f6,a3_f7,a3_f8,a4_f1,a4_f2,a4_f3,a4_f4,a4_f5,a4_f6,a4_f7,a4_f8,label,action_name
312.00,583.00,140.00,594.00,39.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,휴식 (Relax)
320.00,616.00,151.00,638.00,39.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,33.00,33.00,33.00,33.00,33.00,33.00,33.00,33.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,44.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,휴식 (Relax)
336.00,616.00,156.00,616.00,31.00,31.54,30.19,28.05,25.30,22.20,19.20,16.89,16.00,64.73,60.98,54.88,46.67,36.67,25.26,12.88,0.00,26.50,25.02,22.62,19.42,15.57,11.32,7.20,5.00,64.87,61.55,56.22,49.19,40.98,32.42,25.13,22.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,0,휴식 (Relax)
312.00,551.00,145.00,551.00,26.00,31.54,30.19,28.05,25.30,22.20,19.20,16.89,16.00,42.07,57.00,68.71,72.90,68.34,56.17,40.59,32.00,30.87,27.64,22.81,17.09,11.33,6.32,2.60,0.00,40.42,65.58,83.44,89.74,83.23,65.10,39.40,21.00,20.62,19.50,17.68,15.26,12.39,9.27,6.39,5.00,0,휴식 (Relax)
312.00,572.00,130.00,551.00,33.00,31.54,30.19,28.05,25.30,22.20,19.20,16.89,16.00,41.83,66.19,79.34,78.49,66.06,47.59,29.71,21.00,25.49,30.80,31.80,26.68,17.02,7.42,7.55,10.00,64.14,106.96,122.72,108.60,72.14,28.22,9.77,22.00,25.95,22.94,18.45,13.15,7.86,3.41,0.77,1.00,0,휴식 (Relax)
320.00,594.00,151.00,638.00,39.00,34.72,24.00,22.28,28.84,30.20,24.00,14.22,8.00,37.78,55.60,78.43,87.82,75.81,48.42,21.25,10.00,27.93,20.58,25.40,31.06,27.24,18.40,18.01,21.00,24.88,73.89,128.20,146.24,114.25,53.90,45.94,66.00,25.95,22.94,18.45,13.15,7.86,3.41,0.77,1.00,0,휴식 (Relax)
336.00,616.00,162.00,616.00,28.00,44.60,0.00,39.67,50.60,31.40,0.00,23.88,32.00,32.12,49.69,109.52,108.19,55.75,28.09,44.70,43.00,36.04,6.92,43.24,50.92,33.29,16.56,12.29,1.00,9.41,79.45,150.11,157.26,102.94,32.91,30.55,44.00,31.57,16.41,10.19,18.38,18.81,12.60,10.27,12.00,0,휴식 (Relax)
320.00,561.00,140.00,551.00,24.00,47.55,8.00,46.26,48.66,23.42,8.00,20.66,24.00,40.00,34.68,97.21,124.63,72.47,14.39,61.38,65.00,36.04,6.92,43.24,50.92,33.29,16.56,12.29,1.00,48.26,43.00,135.99,194.54,135.40,43.00,48.90,1.00,38.78,6.37,22.60,30.87,19.92,7.58,6.97,3.00,0,휴식 (Relax)
312.00,561.00,130.00,540.00,33.00,47.55,8.00,46.26,48.66,23.42,8.00,20.66,24.00,59.96,14.39,112.28,139.30,55.33,34.68,52.34,43.00,38.36,4.31,47.43,60.44,33.14,10.17,2.99,9.00,101.64,11.00,183.54,223.96,94.73,11.00,14.90,55.00,40.89,4.64,27.09,28.86,13.95,2.12,1.85,3.00,0,휴식 (Relax)
312.00,583.00,151.00,616.00,42.00,47.55,8.00,46.26,48.66,23.42,8.00,20.66,24.00,59.96,14.39,112.28,139.30,55.33,34.68,52.34,43.00,31.84,6.80,36.56,64.40,43.86,17.83,8.32,20.00,82.96,16.21,168.26,241.45,106.97,30.78,27.66,77.00,40.89,6.57,28.00,31.78,13.41,0.89,2.08,6.00,0,휴식 (Relax)
328.00,616.00,156.00,638.00,36.00,38.90,11.79,39.11,64.50,11.59,22.38,12.29,40.00,33.15,43.08,118.40,164.40,22.33,41.61,45.07,76.00,21.80,21.73,36.67,79.12,37.47,4.44,9.78,4.00,70.54,59.73,191.78,269.52,65.94,38.91,36.10,33.00,39.73,3.61,25.00,32.57,16.14,3.61,4.42,9.00,0,휴식 (Relax)
352.00,627.00,145.00,605.00,26.00,29.69,44.77,74.59,71.55,33.32,23.58,46.61,0.00,46.42,75.17,162.33,142.62,56.09,7.06,70.74,32.00,18.51,24.86,41.61,77.49,33.51,4.90,4.80,9.00,75.48,67.41,202.39,261.63,65.95,27.92,25.73,44.00,32.26,11.40,22.84,45.12,11.67,11.40,10.46,4.00,0,휴식 (Relax)
320.00,561.00,140.00,540.00,28.00,30.96,49.30,80.14,64.50,33.23,16.06,38.72,8.00,26.92,72.64,154.22,163.19,60.51,20.57,92.13,10.00,18.51,24.86,41.61,77.49,33.51,4.90,4.80,9.00,45.87,84.33,202.28,302.24,30.65,40.84,28.28,98.00,25.08,21.65,33.55,44.01,2.85,5.76,1.02,7.00,0,휴식 (Relax)
296.00,540.00,130.00,540.00,33.00,36.30,53.55,87.28,73.76,48.79,18.24,26.76,24.00,18.22,108.14,189.03,154.39,96.02,38.58,50.51,53.00,28.42,32.85,48.25,75.13,34.15,14.23,14.07,1.00,50.16,138.02,254.83,272.55,84.07,17.77,30.14,44.00,20.52,25.18,37.19,38.01,8.78,3.45,5.18,1.00,0,휴식 (Relax)
312.00,594.00,156.00,627.00,39.00,36.30,53.55,87.28,73.76,48.79,18.24,26.76,24.00,12.86,97.72,180.20,165.37,104.54,49.23,43.01,64.00,13.83,17.72,34.21,90.93,22.87,28.98,28.69,17.00,52.21,114.77,237.80,301.90,103.54,50.61,63.14,11.00,20.52,25.18,37.19,38.01,8.78,3.45,5.18,1.00,0,휴식 (Relax)
320.00,616.00,151.00,627.00,33.00,28.56,46.34,85.74,79.20,53.68,12.51,26.98,16.00,38.06,88.77,191.48,166.46,117.38,42.21,60.73,31.00,12.29,17.56,38.06,90.02,33.77,25.45,21.26,6.00,78.97,122.60,260.14,289.12,120.59,37.82,35.16,44.00,14.52,21.09,31.21,44.01,6.75,3.03,10.09,5.00,0,휴식 (Relax)
328.00,572.00,140.00,551.00,26.00,12.75,44.35,99.80,68.82,38.85,18.37,34.19,32.00,27.08,82.24,180.49,177.37,128.28,51.54,66.05,20.00,12.29,17.56,38.06,90.02,33.77,25.45,21.26,6.00,36.41,84.98,221.15,329.89,162.42,74.44,43.52,87.00,5.38,8.39,29.89,46.17,19.31,12.23,9.43,8.00,0,휴식 (Relax)
320.00,540.00,140.00,551.00,28.00,12.75,44.35,99.80,68.82,38.85,18.37,34.19,32.00,53.35,17.17,169.98,201.44,130.94,30.28,91.02,96.00,5.70,7.79,36.49,90.45,42.92,14.61,21.69,17.00,51.60,14.58,244.18,315.19,168.99,35.20,51.24,0.00,13.61,4.95,40.58,35.85,16.54,6.44,5.16,3.00,0,휴식 (Relax)
320.00,594.00,151.00,616.00,36.00,25.17,28.38,106.03,60.93,24.27,31.41,18.32,16.00,75.15,11.05,191.04,182.54,108.99,11.05,71.28,74.00,6.06,9.05,41.16,85.48,39.10,19.03,22.72,12.00,51.60,14.58,244.18,315.19,168.99,35.20,51.24,0.00,8.61,0.13,38.00,38.08,21.33,10.77,7.71,8.00,0,휴식 (Relax)
328.00,616.00,145.00,627.00,39.00,18.72,40.60,90.08,75.89,14.81,46.81,4.36,0.00,36.39,66.91,159.12,224.24,98.60,66.91,10.82,9.00,6.06,9.05,41.16,85.48,39.10,19.03,22.72,12.00,47.26,61.86,230.23,321.64,152.38,49.89,72.70,76.00,6.09,12.95,47.35,27.59,16.99,5.13,11.85,5.00,0,휴식 (Relax)
320.00,594.00,140.00,583.00,31.00,22.73,43.08,88.04,73.76,9.62,43.08,9.33,8.00,48.89,85.77,176.06,209.75,77.35,50.65,31.42,31.00,13.06,5.14,46.34,75.54,29.11,24.85,14.52,22.00,78.17,88.28,259.82,290.37,123.14,23.91,43.33,44.00,4.14,11.64,45.61,29.00,18.86,7.11,13.80,7.00,0,휴식 (Relax)
304.00,551.00,135.00,530.00,26.00,11.49,51.22,75.45,89.44,6.39,51.22,23.10,24.00,18.02,83.20,140.55,244.66,60.05,69.33,74.09,74.00,3.11,11.28,31.07,79.06,26.45,40.85,6.12,38.00,34.58,117.78,201.30,331.69,81.51,114.31,65.41,64.00,8.90,18.56,49.14,22.14,13.95,8.70,2.72,6.00,0,휴식 (Relax)
304.00,561.00,135.00,561.00,33.00,25.59,83.10,48.68,89.44,29.88,19.74,20.86,8.00,48.40,132.55,164.85,219.92,28.61,14.44,35.48,19.00,29.47,34.88,40.76,54.12,7.07,29.14,27.43,11.00,89.55,172.78,244.35,286.20,30.09,74.54,30.78,9.00,4.51,13.60,44.14,26.93,18.69,13.60,6.13,11.00,0,휴식 (Relax)
320.00,605.00,151.00,627.00,39.00,25.59,83.10,48.68,89.44,29.88,19.74,20.86,8.00,32.77,94.37,122.30,261.59,22.53,33.58,58.65,25.00,20.21,30.91,30.47,60.00,6.54,37.37,38.32,0.00,33.50,129.95,185.51,337.62,53.15,116.87,90.08,67.00,13.64,13.04,41.03,27.20,15.09,13.04,8.88,4.00,0,휴식 (Relax)
336.00,627.00,156.00,616.00,31.00,26.38,84.92,24.72,96.66,47.61,35.17,3.17,16.00,89.25,106.26,133.50,250.24,74.19,40.58,17.42,41.00,24.58,50.09,40.64,42.19,28.43,12.46,20.20,26.00,88.11,174.90,226.98,291.73,58.17,42.19,14.94,9.00,11.65,11.09,39.22,29.12,17.06,15.00,10.73,6.00,0,휴식 (Relax)
312.00,561.00,135.00,540.00,28.00,26.38,84.92,24.72,96.66,47.61,35.17,3.17,16.00,67.37,85.37,111.51,272.22,89.87,61.67,30.24,63.00,12.02,34.76,26.03,56.46,39.88,17.42,25.99,42.00,12.13,98.99,157.12,358.79,131.46,68.08,66.04,85.00,6.73,7.12,30.28,35.61,15.59,8.56,9.52,8.00,0,휴식 (Relax)
304.00,561.00,135.00,551.00,28.00,7.33,61.70,20.64,108.81,58.13,52.16,22.21,8.00,33.26,42.11,105.68,275.54,118.22,57.16,46.20,8.00,13.21,32.20,35.64,52.01,49.09,3.61,12.53,21.00,76.29,77.51,186.92,331.44,141.16,24.43,27.50,2.00,14.12,15.09,35.71,29.73,7.61,4.92,4.42,0.00,0,휴식 (Relax)
328.00,583.00,151.00,616.00,42.00,20.89,54.83,17.62,90.51,35.45,28.88,6.67,16.00,62.08,67.17,148.78,232.21,78.67,23.00,8.81,52.00,10.88,27.40,30.12,58.01,54.91,9.12,10.75,15.00,65.95,68.07,176.12,342.23,152.15,35.28,38.34,13.00,2.68,11.14,22.29,42.94,14.12,13.85,14.44,16.00,0,휴식 (Relax)
328.00,605.00,156.00,627.00,33.00,15.58,50.05,23.11,96.33,36.63,26.36,13.61,24.00,19.66,24.17,130.71,244.39,96.46,24.17,40.11,96.00,21.35,11.52,34.79,59.91,54.75,13.76,22.72,31.00,60.55,24.68,180.79,336.72,146.33,71.38,50.73,74.00,7.58,15.93,24.49,40.85,10.72,12.33,10.95,11.00,0,휴식 (Relax)
328.00,572.00,145.00,561.00,24.00,33.36,19.87,53.45,78.79,6.55,27.51,18.41,8.00,12.55,31.11,157.10,214.85,65.87,31.11,22.07,64.00,36.28,12.80,49.70,45.54,40.42,2.87,7.78,16.00,79.87,45.48,201.70,315.77,125.65,52.47,30.47,53.00,2.68,9.49,15.67,49.34,17.40,19.24,12.51,2.00,0,휴식 (Relax)
320.00,561.00,140.00,540.00,28.00,41.34,12.25,55.48,71.55,14.36,29.56,11.28,0.00,23.12,1.89,132.05,230.34,72.78,64.11,45.15,31.00,21.67,3.30,47.50,53.01,31.86,18.79,8.65,0.00,8.06,68.05,179.23,333.33,106.55,89.56,67.68,34.00,13.42,16.38,17.78,47.17,10.81,9.04,7.40,13.00,0,휴식 (Relax)
304.00,561.00,135.00,572.00,33.00,26.65,23.58,68.33,65.97,23.97,44.77,13.77,16.00,78.02,56.35,161.37,185.80,18.03,46.35,10.80,86.00,17.88,17.99,62.71,41.11,23.01,12.97,7.63,16.00,63.05,122.16,230.46,281.92,54.29,36.86,13.69,21.00,13.42,16.38,17.78,47.17,10.81,9.04,7.40,13.00,0,휴식 (Relax)
320.00,605.00,151.00,627.00,36.00,22.61,26.94,75.02,58.24,26.92,38.08,6.95,8.00,49.86,41.20,130.48,208.80,34.33,76.19,41.42,119.00,15.02,14.54,56.58,49.93,12.07,22.86,18.54,27.00,29.39,97.13,189.26,319.10,50.71,72.99,67.44,97.00,8.57,13.63,17.89,47.38,5.30,9.17,15.70,3.00,0,휴식 (Relax)
336.00,594.00,156.00,616.00,33.00,27.56,34.10,79.15,56.00,42.84,39.05,10.01,8.00,54.20,85.31,141.65,176.88,33.38,36.11,29.67,65.00,18.28,28.38,67.64,43.42,24.49,10.99,8.45,11.00,91.48,150.86,238.97,268.79,26.14,21.26,16.26,32.00,11.32,17.70,22.87,42.43,1.50,11.25,10.70,8.00,0,휴식 (Relax)
320.00,561.00,135.00,551.00,26.00,27.56,34.10,79.15,56.00,42.84,39.05,10.01,8.00,31.71,56.17,108.65,206.25,64.15,57.00,60.94,32.00,20.70,15.30,53.77,59.03,28.65,22.36,20.39,5.00,31.72,91.57,187.60,317.06,89.90,78.21,72.41,33.00,4.40,8.40,20.41,44.94,8.60,21.20,4.28,18.00,0,휴식 (Relax)
320.00,561.00,130.00,540.00,33.00,30.02,28.38,76.20,56.57,49.21,31.41,9.30,0.00,38.87,71.53,101.78,189.72,78.85,8.77,11.48,87.00,34.03,22.33,58.62,58.14,39.40,9.25,5.39,10.00,77.89,110.61,233.36,272.33,105.83,45.75,20.48,54.00,5.51,9.13,26.02,39.40,8.72,17.11,5.70,12.00,0,휴식 (Relax)
