a0,a1,a2,a3,a4,a0_f1,a0_f2,a0_f3,a0_f4,a0_f5,a0_f6,a0_f7,a0_f8,a1_f1,a1_f2,a1_f3,a1_f4,a1_f5,a1_f6,a1_f7,a1_f8,a2_f1,a2_f2,a2_f3,a2_f4,a2_f5,a2_f6,a2_f7,a2_f8,a3_f1,a3_f2,a3_f3,a3_f4,a3_f5,a3_f6,a3_f7,a3_f8,a4_f1,a4_f2,a4_f3,a4_f4,a4_f5,a4_f6,a4_f7,a4_f8,a0_rms,a0_mav,a0_wl,a0_zc,a1_rms,a1_mav,a1_wl,a1_zc,a2_rms,a2_mav,a2_wl,a2_zc,a3_rms,a3_mav,a3_wl,a3_zc,a4_rms,a4_mav,a4_wl,a4_zc,label,action_name
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,휴식 (Relax)
7.50,-10.31,10.31,0.00,1.88,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.94,0.94,8.00,1.00,2.66,1.29,11.00,1.00,2.66,1.29,11.00,1.00,0.00,0.00,0.00,0.00,0.48,0.23,2.00,0.00,0,휴식 (Relax)
-0.50,-30.25,-0.69,-20.62,-0.12,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,43.37,41.51,38.57,34.79,30.53,26.39,23.22,22.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,11.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,22.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.94,0.94,16.00,2.00,8.25,4.81,33.00,1.00,2.66,1.29,22.00,2.00,5.33,2.58,22.00,1.00,0.48,0.23,4.00,0.00,0,휴식 (Relax)
14.50,-7.56,9.62,22.00,1.75,22.38,17.89,11.79,8.00,11.79,17.89,22.38,24.00,53.33,48.56,41.42,33.00,24.58,17.44,12.67,11.00,20.33,15.56,8.42,0.00,8.42,15.56,20.33,22.00,8.58,16.84,24.45,31.11,36.58,40.65,43.15,44.00,3.70,2.83,1.53,0.00,1.53,2.83,3.70,4.00,4.21,2.62,32.00,3.00,8.45,5.59,55.00,1.00,3.64,2.41,33.00,3.00,7.78,2.75,66.00,1.00,0.66,0.44,6.00,0.00,0,휴식 (Relax)
21.00,24.06,4.25,10.31,1.62,43.97,34.17,25.58,25.30,27.85,24.99,14.85,0.00,40.85,53.31,59.06,55.00,43.05,28.08,15.82,11.00,24.93,16.67,5.95,6.00,13.35,16.67,16.63,16.00,17.31,27.33,35.30,39.66,40.21,37.83,34.55,33.00,5.30,3.46,1.42,2.00,3.27,3.46,2.68,2.00,6.86,4.88,40.00,3.00,10.45,6.10,88.00,2.00,3.78,2.84,38.00,3.00,8.22,3.95,77.00,1.00,0.78,0.61,6.00,0.00,0,휴식 (Relax)
12.00,22.69,-6.44,9.62,7.12,57.11,41.36,29.02,25.30,19.39,9.02,11.36,16.00,46.36,74.30,77.63,59.24,31.10,6.71,7.31,11.00,22.66,19.25,10.74,7.81,17.44,21.34,16.71,11.00,28.31,37.16,39.55,34.79,29.25,32.23,40.23,44.00,12.01,8.16,7.46,8.25,6.31,4.62,8.02,10.00,7.48,6.00,48.00,3.00,11.97,6.62,88.00,2.00,4.11,2.96,49.00,4.00,8.59,4.98,77.00,1.00,2.00,1.31,12.00,0.00,0,휴식 (Relax)
-11.50,-9.62,-6.12,-22.00,-0.88,52.61,43.19,34.61,32.98,26.29,7.41,14.39,24.00,38.48,65.05,79.40,69.57,40.20,11.16,16.71,22.00,23.28,24.22,14.21,12.08,18.77,17.01,14.69,16.00,11.20,35.20,55.68,56.09,31.19,14.58,50.78,66.00,12.01,8.16,7.46,8.25,6.31,4.62,8.02,10.00,7.98,6.25,72.00,4.00,12.22,7.56,121.00,3.00,4.39,3.08,49.00,4.00,10.29,5.50,110.00,2.00,2.00,1.31,20.00,1.00,0,휴식 (Relax)
4.00,-29.56,14.81,0.00,-3.69,54.33,36.21,27.70,32.00,32.69,15.00,18.24,32.00,17.64,67.78,112.09,85.91,24.77,22.08,23.38,11.00,19.17,15.40,24.94,24.60,35.77,21.66,14.11,33.00,11.20,35.20,55.68,56.09,31.19,14.58,50.78,66.00,11.10,9.80,10.06,11.18,7.95,5.82,7.24,7.00,8.00,6.50,88.00,5.00,14.40,10.23,143.00,3.00,5.81,4.53,71.00,5.00,10.29,5.50,132.00,2.00,2.20,1.41,23.00,1.00,0,휴식 (Relax)
18.50,-17.19,8.12,0.00,1.19,57.06,13.86,40.19,56.00,43.77,13.86,25.24,8.00,21.19,88.08,124.28,70.43,8.36,15.11,2.74,11.00,19.95,23.84,34.59,31.11,33.21,10.76,15.97,22.00,11.20,35.20,55.68,56.09,31.19,14.58,50.78,66.00,10.86,7.81,8.68,11.70,9.85,7.81,8.11,5.00,9.26,7.88,104.00,5.00,15.05,11.52,154.00,3.00,6.15,5.20,77.00,5.00,10.29,5.50,132.00,2.00,2.21,1.49,28.00,2.00,0,휴식 (Relax)
9.50,15.12,-2.88,10.31,1.06,58.24,19.31,55.10,58.24,29.27,3.31,11.77,24.00,20.39,78.27,130.05,79.32,3.44,25.50,9.08,22.00,19.95,23.84,34.59,31.11,33.21,10.76,15.97,22.00,8.57,30.78,66.48,55.00,24.08,16.21,46.77,77.00,10.21,6.40,9.80,13.60,9.83,6.40,6.57,7.00,9.47,8.31,112.00,5.00,15.50,12.03,187.00,4.00,6.15,5.20,88.00,6.00,10.63,6.53,143.00,3.00,2.22,1.55,28.00,2.00,0,휴식 (Relax)
1.00,4.12,-2.88,9.62,3.75,57.35,27.31,56.30,50.60,29.18,4.69,19.23,16.00,20.39,78.27,130.05,79.32,3.44,25.50,9.08,22.00,19.95,23.84,34.59,31.11,33.21,10.76,15.97,22.00,13.83,37.56,72.98,44.00,35.00,6.44,54.20,66.00,8.28,8.55,14.66,13.04,5.26,7.68,11.35,2.00,9.33,8.00,120.00,5.00,15.50,12.03,198.00,4.00,6.15,5.20,88.00,6.00,10.91,7.39,143.00,3.00,2.41,1.78,31.00,2.00,0,휴식 (Relax)
8.00,-16.50,13.06,-1.38,-4.06,52.64,40.25,44.19,48.00,43.80,13.11,3.74,32.00,12.40,70.41,127.60,98.39,25.38,29.16,18.56,0.00,13.73,25.56,25.98,44.78,41.74,14.17,2.45,39.00,13.83,37.56,72.98,44.00,35.00,6.44,54.20,66.00,10.11,5.55,14.36,16.03,3.25,7.69,14.32,1.00,9.38,8.00,128.00,2.00,16.04,13.06,220.00,5.00,6.98,6.17,105.00,7.00,10.91,7.39,154.00,4.00,2.61,1.95,39.00,3.00,0,휴식 (Relax)
22.00,36.44,-8.62,-1.38,3.62,45.13,58.04,18.01,80.00,32.78,21.72,34.24,0.00,34.95,99.89,98.38,116.93,49.14,61.78,51.56,33.00,15.61,27.63,22.24,42.54,46.52,15.50,7.08,44.00,13.83,37.56,72.98,44.00,35.00,6.44,54.20,66.00,5.83,9.91,9.92,16.49,7.59,6.46,18.81,6.00,10.77,9.25,144.00,5.00,18.54,14.87,275.00,6.00,7.25,6.41,127.00,8.00,10.91,7.39,154.00,4.00,2.76,2.12,47.00,4.00,0,휴식 (Relax)
-2.50,3.44,2.00,8.94,6.12,43.51,59.04,23.61,80.40,25.27,15.06,27.41,8.00,34.95,99.89,98.38,116.93,49.14,61.78,51.56,33.00,11.37,21.92,27.90,37.12,47.52,14.55,13.03,50.00,15.14,39.13,70.49,45.35,44.99,12.75,44.42,77.00,3.18,15.04,5.57,24.33,6.50,13.03,14.30,2.00,10.48,8.81,168.00,6.00,18.54,14.87,308.00,6.00,7.21,6.38,138.00,9.00,11.15,8.08,165.00,5.00,3.16,2.39,50.00,4.00,0,휴식 (Relax)
-10.50,13.75,-4.00,8.25,0.00,43.51,59.04,23.61,80.40,25.27,15.06,27.41,8.00,45.20,104.52,101.44,110.00,38.75,63.87,59.90,44.00,11.37,21.92,27.90,37.12,47.52,14.55,13.03,50.00,19.63,35.20,80.10,34.79,46.15,14.58,51.81,66.00,4.51,15.45,7.43,24.08,4.52,11.20,14.42,0.00,10.48,8.81,176.00,6.00,18.85,15.47,319.00,6.00,7.21,6.38,144.00,10.00,11.34,8.59,165.00,5.00,3.12,2.25,56.00,3.00,0,휴식 (Relax)
-10.50,-17.88,-8.69,-23.38,-2.00,43.51,59.04,23.61,80.40,25.27,15.06,27.41,8.00,32.03,113.04,79.49,128.28,28.27,56.52,73.54,66.00,16.31,24.08,32.41,32.76,51.84,19.54,10.57,45.00,24.72,55.08,64.91,46.67,67.94,36.36,64.12,44.00,4.51,15.45,7.43,24.08,4.52,11.20,14.42,0.00,10.48,8.81,176.00,6.00,19.40,16.50,352.00,7.00,7.48,6.65,149.00,10.00,12.83,9.80,198.00,6.00,3.12,2.25,58.00,3.00,0,휴식 (Relax)
-3.00,-26.81,6.62,-22.00,-4.81,35.88,52.59,16.05,88.36,17.27,7.10,26.77,0.00,46.10,144.92,71.06,114.84,17.78,85.51,67.89,33.00,6.44,28.77,25.64,39.60,51.80,28.57,15.81,34.00,45.45,75.58,78.41,34.79,60.41,24.07,60.20,66.00,5.10,18.36,9.18,24.02,2.80,10.25,16.43,3.00,10.15,8.38,176.00,6.00,20.57,17.79,352.00,6.00,7.61,6.88,154.00,10.00,14.02,11.00,198.00,3.00,3.32,2.48,59.00,4.00,0,휴식 (Relax)
12.00,-4.81,1.94,10.31,3.00,19.92,53.30,12.03,91.21,27.81,22.08,35.29,16.00,46.10,144.92,71.06,114.84,17.78,85.51,67.89,33.00,9.66,23.85,22.85,43.28,47.46,30.42,20.60,29.00,34.61,71.26,68.33,45.35,69.90,31.17,65.20,77.00,3.35,15.90,6.48,27.02,0.56,7.95,19.25,6.00,10.58,9.00,184.00,7.00,20.57,17.79,352.00,6.00,7.44,6.56,148.00,9.00,14.27,11.69,209.00,7.00,3.41,2.62,65.00,4.00,0,휴식 (Relax)
