a0,a1,a2,a3,a4,a0_f1,a0_f2,a0_f3,a0_f4,a0_f5,a0_f6,a0_f7,a0_f8,a1_f1,a1_f2,a1_f3,a1_f4,a1_f5,a1_f6,a1_f7,a1_f8,a2_f1,a2_f2,a2_f3,a2_f4,a2_f5,a2_f6,a2_f7,a2_f8,a3_f1,a3_f2,a3_f3,a3_f4,a3_f5,a3_f6,a3_f7,a3_f8,a4_f1,a4_f2,a4_f3,a4_f4,a4_f5,a4_f6,a4_f7,a4_f8,a0_rms,a0_mav,a0_wl,a0_zc,a0_ssc,a0_wamp,a1_rms,a1_mav,a1_wl,a1_zc,a1_ssc,a1_wamp,a2_rms,a2_mav,a2_wl,a2_zc,a2_ssc,a2_wamp,a3_rms,a3_mav,a3_wl,a3_zc,a3_ssc,a3_wamp,a4_rms,a4_mav,a4_wl,a4_zc,a4_ssc,a4_wamp,label,action_name
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,휴식 (Relax)
-6.56,9.38,-9.38,-9.38,0.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.69,0.82,7.00,1.00,0.00,0.00,2.42,1.17,10.00,1.00,0.00,1.00,2.42,1.17,10.00,1.00,0.00,1.00,2.42,1.17,10.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0,휴식 (Relax)
-13.62,8.75,-8.75,-18.12,0.00,21.63,20.55,18.82,16.55,13.92,11.20,8.94,8.00,19.62,18.48,16.63,14.14,11.11,7.65,3.90,0.00,19.62,18.48,16.63,14.14,11.11,7.65,3.90,0.00,29.49,27.98,25.56,22.36,18.63,14.74,11.42,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.90,2.41,15.00,1.00,0.00,0.00,3.31,2.19,10.00,1.00,0.00,1.00,3.31,2.19,10.00,1.00,0.00,1.00,5.27,3.28,20.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0,휴식 (Relax)
-12.69,-1.25,-12.81,-16.88,0.00,35.46,31.08,24.56,17.00,9.90,5.68,6.14,7.00,19.62,18.48,16.63,14.14,11.11,7.65,3.90,0.00,33.15,27.90,20.10,11.18,4.64,8.45,13.24,15.00,47.87,41.82,32.81,22.36,12.57,7.17,8.61,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.08,3.76,15.00,1.00,0.00,0.00,3.31,2.19,20.00,2.00,0.00,2.00,4.67,3.55,15.00,1.00,0.00,1.00,6.82,5.08,20.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0,휴식 (Relax)
-18.31,8.12,-11.88,12.50,4.69,54.18,41.21,24.26,10.63,12.13,16.35,16.15,15.00,26.51,17.32,7.10,10.00,16.33,17.32,13.42,10.00,45.46,33.31,17.67,7.07,11.80,13.80,9.04,0.00,40.77,41.32,38.61,31.62,22.56,17.11,18.37,20.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,6.92,5.53,22.00,1.00,0.00,0.00,3.90,3.05,30.00,3.00,1.00,3.00,5.56,4.69,15.00,1.00,0.00,1.00,7.50,5.31,50.00,2.00,0.00,3.00,1.21,0.59,5.00,1.00,0.00,0.00,0,휴식 (Relax)
-10.38,16.88,-15.62,11.88,4.38,65.27,43.15,18.22,9.90,14.74,11.57,4.69,0.00,40.32,17.32,15.29,30.00,29.72,17.32,7.58,10.00,59.99,35.37,12.16,15.81,15.97,7.00,14.09,20.00,38.88,49.31,48.16,36.06,21.11,12.99,11.09,10.00,9.81,9.24,8.31,7.07,5.56,3.83,1.95,0.00,7.36,6.36,29.00,1.00,1.00,0.00,5.83,4.69,40.00,3.00,1.00,4.00,6.82,6.02,20.00,1.00,0.00,1.00,8.08,5.55,50.00,2.00,0.00,3.00,1.65,1.09,5.00,1.00,0.00,0.00,0,휴식 (Relax)
-1.94,25.00,-9.69,11.25,-2.50,69.02,40.40,11.84,7.00,8.46,6.50,7.21,7.00,61.88,32.00,41.51,42.43,18.59,13.26,22.42,20.00,68.94,32.71,12.07,18.03,8.41,8.95,11.41,5.00,43.14,59.14,50.40,28.28,11.96,10.15,16.00,20.00,8.22,8.67,8.92,8.60,7.53,5.73,3.48,2.00,7.28,6.33,37.00,1.00,1.00,0.00,8.66,6.88,50.00,3.00,1.00,5.00,7.17,6.64,25.00,1.00,1.00,1.00,8.57,5.78,50.00,2.00,0.00,3.00,1.77,1.12,12.00,2.00,0.00,0.00,0,휴식 (Relax)
12.56,23.12,-4.06,10.62,4.19,67.76,47.70,18.85,15.00,12.86,2.61,13.11,15.00,82.56,48.46,53.74,30.00,11.51,25.52,12.81,10.00,72.87,26.99,11.26,11.18,2.64,4.63,7.49,15.00,51.56,65.42,43.35,22.36,20.93,17.89,14.98,10.00,11.34,7.12,3.93,7.00,10.01,10.36,8.48,7.00,7.86,6.70,52.00,2.00,1.00,1.00,10.44,8.59,50.00,3.00,1.00,5.00,7.12,6.68,30.00,1.00,1.00,1.00,8.99,6.02,50.00,2.00,0.00,3.00,2.07,1.57,19.00,3.00,1.00,0.00,0,휴식 (Relax)
-9.50,30.62,-12.81,19.38,6.69,65.05,34.39,24.04,21.21,27.06,15.15,25.35,30.00,107.88,65.42,49.90,10.00,38.30,17.89,28.37,30.00,76.99,10.21,14.16,11.18,21.22,15.68,22.82,5.00,71.45,67.55,25.06,41.23,28.14,6.10,16.58,30.00,16.57,5.89,7.66,15.00,15.17,9.55,2.95,1.00,8.15,7.19,75.00,3.00,2.00,2.00,12.98,10.55,60.00,3.00,1.00,6.00,7.70,7.19,40.00,1.00,2.00,2.00,10.29,7.11,60.00,1.00,0.00,4.00,2.69,2.22,22.00,3.00,1.00,0.00,0,휴식 (Relax)
-1.06,18.75,-11.56,-0.62,3.38,62.24,33.61,30.83,26.63,26.78,12.51,21.13,23.00,123.83,70.74,33.13,31.62,30.23,13.99,15.98,0.00,78.46,10.21,22.25,26.93,20.94,15.68,3.16,15.00,71.45,67.55,25.06,41.23,28.14,6.10,16.58,30.00,19.54,6.71,11.99,15.81,11.16,5.56,4.68,4.00,8.03,6.94,83.00,3.00,3.00,2.00,13.64,11.72,70.00,1.00,2.00,7.00,8.05,7.38,40.00,1.00,2.00,2.00,10.29,7.11,80.00,2.00,1.00,5.00,2.80,2.48,25.00,3.00,2.00,0.00,0,휴식 (Relax)
